pair_id,group_type,small_recipe_id,large_recipe_id,composite_score,ingredient_name,base_amount_g,role,target_amount_g,target_serving_size,per_serving_grams,ratio_actual,predicted_amount_g,ratio_baseline
PAIR_0002,dry_heat,A2166,LS_A0036,0.667261,양파,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0002,dry_heat,A2166,LS_A0036,0.667261,물엿,2.0,조미료,300.0,100,3.0,1.5,200.0,1.0
PAIR_0235,dry_heat,O0008,LS_A0469,0.666473,대파,10.0,부재료,1000.0,100,10.0,1.0,1000.0,1.0
PAIR_0235,dry_heat,O0008,LS_A0469,0.666473,참기름,2.0,조미료,200.0,100,2.0,1.0,200.0,1.0
PAIR_0003,dry_heat,A1189,LS_A0041,0.66641,가지,60.0,부재료,21000.0,300,70.0,1.1666666666666667,18000.0,1.0
PAIR_0225,dry_heat,A1224,LS_A0454,0.661861,감자,60.0,부재료,5000.0,100,50.0,0.8333333333333334,6000.0,1.0
PAIR_0225,dry_heat,A1224,LS_A0454,0.661861,식용유,5.0,조미료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0146,dry_heat,A1511,LS_A0305,0.654047,진간장,3.0,양념,500.0,100,5.0,1.6666666666666667,300.0,1.0
PAIR_0146,dry_heat,A1511,LS_A0305,0.654047,참깨,0.3,부재료,50.0,100,0.5,1.6666666666666667,30.0,1.0
PAIR_0146,dry_heat,A1511,LS_A0305,0.654047,참기름,1.0,조미료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0176,dry_heat,A0468,LS_A0352,0.648787,소금,0.3,조미료,60.0,100,0.6,2.0,30.0,1.0
PAIR_0129,dry_heat,A0887,LS_A0291,0.641814,식용유,2.0,조미료,200.0,100,2.0,1.0,200.0,1.0
PAIR_0157,dry_heat,A1033,LS_A0320,0.641209,소금,0.4,조미료,50.0,100,0.5,1.25,40.0,1.0
PAIR_0157,dry_heat,A1033,LS_A0320,0.641209,후춧가루,0.1,조미료,20.0,100,0.2,2.0,10.0,1.0
PAIR_0005,dry_heat,A1844,LS_A0059,0.637319,삼치,70.0,부재료,8000.0,100,80.0,1.1428571428571428,7000.0,1.0
PAIR_0001,dry_heat,A0854,LS_A0016,0.630461,간장,5.0,양념,500.0,100,5.0,1.0,500.0,1.0
PAIR_0238,dry_heat,A0110,LS_A0478,0.624256,삼치,150.0,주재료,10000.0,100,100.0,0.6666666666666666,15000.0,1.0
PAIR_0238,dry_heat,A0110,LS_A0478,0.624256,식용유,10.0,조미료,800.0,100,8.0,0.8,1000.0,1.0
PAIR_0154,dry_heat,A2113,LS_A0315,0.62022,배추김치,50.0,부재료,6000.0,100,60.0,1.2,5000.0,1.0
