food_cd,food_nm,reason
D109-417000000-0001,달걀부침(달걀후라이),중복 FOOD_CD
D109-417120000-0001,달걀부침(달걀후라이)_햄,중복 FOOD_CD
D109-419000000-0001,두부부침,중복 FOOD_CD
D109-421000000-0001,맛살전,중복 FOOD_CD
D109-422000000-0001,메밀전,중복 FOOD_CD
D109-425100000-0001,버섯전_표고버섯,중복 FOOD_CD
D109-426000000-0001,부추전,중복 FOOD_CD
D109-427050000-0001,산적_돼지고기,중복 FOOD_CD
D109-433000000-0001,스크램블에그,중복 FOOD_CD
D109-434000000-0001,애호박전,중복 FOOD_CD
D109-437050000-0001,완자전_돼지고기,중복 FOOD_CD
D109-437060000-0001,완자전_소고기,중복 FOOD_CD
D109-437070051-0000,"돈저냐(동그랑땡), 냉동, 구운것(팬)",중복 FOOD_CD
D109-437080000-0001,완자전_참치,중복 FOOD_CD
D109-437110000-0001,완자전_해물,중복 FOOD_CD
D109-439000000-0001,채소전,중복 FOOD_CD
D109-441110000-0001,파전_해물,중복 FOOD_CD
D110-450000000-0001,감자볶음,중복 FOOD_CD
D110-450320000-0001,감자볶음_채소,중복 FOOD_CD
D110-451000000-0001,건새우볶음,중복 FOOD_CD
D110-455160000-0001,곱창볶음_돼지고기,중복 FOOD_CD
D110-456000000-0001,김치볶음,중복 FOOD_CD
D110-456310000-0001,김치볶음_참치,중복 FOOD_CD
D110-457000000-0001,낙지볶음,중복 FOOD_CD
D110-461000000-0001,닭발볶음,중복 FOOD_CD
D110-462000000-0001,닭볶음(닭갈비),중복 FOOD_CD
D110-462155200-0001,닭볶음(닭갈비)_닭가슴살_피망,중복 FOOD_CD
D110-463000000-0001,당근볶음,중복 FOOD_CD
D110-464110000-0001,돼지고기볶음_김치,중복 FOOD_CD
D110-464320000-0001,돼지고기볶음_채소,중복 FOOD_CD
D110-465000000-0001,돼지고기볶음(제육볶음),중복 FOOD_CD
D110-467000000-0001,떡볶이,중복 FOOD_CD
D110-467320000-0001,떡볶이_채소,중복 FOOD_CD
D110-468000000-0001,라볶이,중복 FOOD_CD
D110-469000000-0001,마늘쫑볶음,중복 FOOD_CD
D110-469210000-0001,마늘쫑볶음_멸치,중복 FOOD_CD
D110-470000000-0001,마파두부,중복 FOOD_CD
D110-472000000-0001,멸치볶음,중복 FOOD_CD
D110-472070000-0001,멸치볶음_견과류,중복 FOOD_CD
D110-472130000-0001,멸치볶음_꽈리고추,중복 FOOD_CD
D110-472190000-0001,멸치볶음_마늘쫑,중복 FOOD_CD
D110-472360000-0001,멸치볶음_풋고추,중복 FOOD_CD
D110-474090000-0001,문어볶음_고추장,중복 FOOD_CD
D110-475000000-0001,미역줄기볶음,중복 FOOD_CD
D110-476140000-0001,버섯볶음_느타리,중복 FOOD_CD
D110-476260000-0001,버섯볶음_새송이버섯,중복 FOOD_CD
D110-477000000-0001,브로콜리볶음,중복 FOOD_CD
D110-478220000-0001,삼겹살볶음_묵은지김치,중복 FOOD_CD
D110-480000000-0001,새우볶음,중복 FOOD_CD
D110-481090000-0001,소고기볶음_고추장,중복 FOOD_CD
D110-481250000-0001,소고기볶음_버섯,중복 FOOD_CD
D110-481320000-0001,소고기볶음_채소,중복 FOOD_CD
D110-482000000-0001,소시지볶음,중복 FOOD_CD
D110-484000000-0001,애호박 볶음,중복 FOOD_CD
D110-485000000-0001,양파볶음,중복 FOOD_CD
D110-486000000-0001,어묵볶음,중복 FOOD_CD
D110-486320000-0001,어묵볶음_채소,중복 FOOD_CD
D110-488000000-0001,오징어볶음,중복 FOOD_CD
D110-490000000-0001,유산슬,중복 FOOD_CD
D110-491070000-0001,잔멸치볶음_견과류,중복 FOOD_CD
D110-491130000-0001,잔멸치볶음_꽈리고추,중복 FOOD_CD
